gene	lasso_group	selected_in_marine	selected_in_aquatic	marine_coef	aquatic_coef	max_abs_coef	coefficient_direction_summary	pro_recommended_module	display_module	recommended_submodule_or_function	annotation_confidence	recommended_for_Figure4C_original	recommended_for_Figure4C_display	recommended_for_TableS5_only	keep_unassigned	evidence_summary	key_sources	reason_for_assignment	notes_for_manual_review	display_decision_note
RHOA	aquatic_specific	False	True	0.0	-0.00113449	0.00113449	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	Rho GTPase actin/cytoskeletal signaling	high	True	True	False	False	Rho GTPase actin/cytoskeletal signaling. Canonical Rho GTPase regulating actin cytoskeleton.	UniProt; NCBI Gene; GO; Reactome	Canonical Rho GTPase regulating actin cytoskeleton.		Main Figure4C display candidate under compressed-module policy.
SEPTIN5	aquatic_specific	False	True	0.0	-0.10639	0.10639	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	septin cytoskeletal scaffold	medium	True	True	False	False	septin cytoskeletal scaffold. Septin-family cytoskeletal protein; medium confidence.	UniProt; NCBI Gene; GO	Septin-family cytoskeletal protein; medium confidence.		Main Figure4C display candidate under compressed-module policy.
SORBS2	aquatic_specific	False	True	0.0	-0.00800587	0.00800587	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	actin/cytoskeletal adaptor and cardiac muscle signaling	high	True	True	False	False	actin/cytoskeletal adaptor and cardiac muscle signaling. Cytoskeletal adaptor with cardiac/muscle associations.	UniProt; NCBI Gene; GO	Cytoskeletal adaptor with cardiac/muscle associations.		Main Figure4C display candidate under compressed-module policy.
SYNPO2	aquatic_specific	False	True	0.0	-0.164171	0.164171	aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	actin-associated synaptopodin family / muscle cytoskeleton	high	True	True	False	False	actin-associated synaptopodin family / muscle cytoskeleton. Actin-associated cytoskeletal gene with muscle relevance.	UniProt; NCBI Gene; GO	Actin-associated cytoskeletal gene with muscle relevance.		Main Figure4C display candidate under compressed-module policy.
ACP4	marine_specific	True	False	0.361854	0.0	0.361854	marine fast direction positive	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	phosphatase linked to skeletal/mineral biology	medium	True	True	False	False	phosphatase linked to skeletal/mineral biology. Acid phosphatase with skeletal/dental associations; medium-confidence musculoskeletal placement.	UniProt; NCBI Gene; GO	Acid phosphatase with skeletal/dental associations; medium-confidence musculoskeletal placement.	Manual review: placement is phenotype-driven; check if better kept TableS5 only.	Main Figure4C display candidate under compressed-module policy.
COL4A1	marine_specific	True	False	-0.0505715	0.0	0.0505715	marine slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	collagen / extracellular matrix component	high	True	True	False	False	collagen / extracellular matrix component. Collagen gene; direct extracellular-matrix assignment.	UniProt; NCBI Gene; GO	Collagen gene; direct extracellular-matrix assignment.		Main Figure4C display candidate under compressed-module policy.
MYH13	marine_specific	True	False	0.4803	0.0	0.4803	marine fast direction positive	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	myosin heavy-chain / muscle contractile apparatus	high	True	True	False	False	myosin heavy-chain / muscle contractile apparatus. Myosin heavy-chain gene; strong muscle/cytoskeletal assignment.	UniProt; NCBI Gene; GO	Myosin heavy-chain gene; strong muscle/cytoskeletal assignment.		Main Figure4C display candidate under compressed-module policy.
MYH7B	marine_specific	True	False	0.397857	0.0	0.397857	marine fast direction positive	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	myosin heavy-chain / muscle contractile apparatus	high	True	True	False	False	myosin heavy-chain / muscle contractile apparatus. Myosin heavy-chain gene; strong muscle/cytoskeletal assignment.	UniProt; NCBI Gene; GO	Myosin heavy-chain gene; strong muscle/cytoskeletal assignment.		Main Figure4C display candidate under compressed-module policy.
COL20A1	shared	True	True	0.0921293	0.0288025	0.0921293	marine fast direction positive; aquatic fast direction positive	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	collagen / extracellular matrix component	high	True	True	False	False	collagen / extracellular matrix component. Collagen gene; direct extracellular-matrix assignment.	UniProt; NCBI Gene; GO	Collagen gene; direct extracellular-matrix assignment.		Main Figure4C display candidate under compressed-module policy.
DBNL	shared	True	True	0.109704	0.116035	0.116035	marine fast direction positive; aquatic fast direction positive	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	actin cytoskeleton adaptor	high	True	True	False	False	actin cytoskeleton adaptor. Actin-binding cytoskeletal adaptor.	UniProt; NCBI Gene; GO	Actin-binding cytoskeletal adaptor.		Main Figure4C display candidate under compressed-module policy.
SYDE1	shared	True	True	-0.314258	-0.232023	0.314258	marine slow direction negative; aquatic slow direction negative	Cytoskeletal / muscle / ECM / adhesion	Cytoskeletal / muscle / ECM / adhesion	Rho GTPase/cytoskeletal regulation	medium	True	True	False	False	Rho GTPase/cytoskeletal regulation. Rho-GAP domain signaling connected to cytoskeletal organization.	UniProt; NCBI Gene; GO	Rho-GAP domain signaling connected to cytoskeletal organization.		Main Figure4C display candidate under compressed-module policy.
ATF7IP2	aquatic_specific	False	True	0.0	-0.58177	0.58177	aquatic slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	chromatin-associated transcriptional coregulator	medium	True	True	False	False	chromatin-associated transcriptional coregulator. ATF7IP-family chromatin/transcriptional regulator; medium confidence.	UniProt; NCBI Gene; GO	ATF7IP-family chromatin/transcriptional regulator; medium confidence.		Main Figure4C display candidate under compressed-module policy.
C1orf112	aquatic_specific	False	True	0.0	-0.103652	0.103652	aquatic slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	genome maintenance and replication-stress response	medium	True	True	False	False	genome maintenance and replication-stress response. Emerging genome-maintenance/DNA-repair factor; rescued with medium confidence.	UniProt; NCBI Gene; PubMed	Emerging genome-maintenance/DNA-repair factor; rescued with medium confidence.	Manual review: important rescue gene but still emerging literature.	Explicit final decision: retain as a main Figure4C representative gene.
CDC14B	aquatic_specific	False	True	0.0	-0.02977	0.02977	aquatic slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	cell-cycle phosphatase and DNA damage response	high	True	True	False	False	cell-cycle phosphatase and DNA damage response. Cell-cycle/DNA-damage-related phosphatase.	UniProt; NCBI Gene; GO	Cell-cycle/DNA-damage-related phosphatase.		Main Figure4C display candidate under compressed-module policy.
COMMD4	aquatic_specific	False	True	0.0	-0.0187271	0.0187271	aquatic slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	DNA double-strand-break response / chromatin remodeling	medium	True	True	False	False	DNA double-strand-break response / chromatin remodeling. Literature supports role in chromatin/DNA damage response; medium-confidence rescue.	UniProt; NCBI Gene; PubMed	Literature supports role in chromatin/DNA damage response; medium-confidence rescue.		Main Figure4C display candidate under compressed-module policy.
H1_8	aquatic_specific	False	True	0.0	-0.160269	0.160269	aquatic slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	linker histone / chromatin organization	high	True	True	False	False	linker histone / chromatin organization. Histone H1 variant; direct chromatin assignment.	UniProt; NCBI Gene; GO	Histone H1 variant; direct chromatin assignment.		Main Figure4C display candidate under compressed-module policy.
KIF18A	aquatic_specific	False	True	0.0	0.340198	0.340198	aquatic fast direction positive	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	mitotic kinesin / chromosome alignment	high	True	True	False	False	mitotic kinesin / chromosome alignment. Kinesin involved in mitotic chromosome dynamics.	UniProt; NCBI Gene; GO	Kinesin involved in mitotic chromosome dynamics.		Main Figure4C display candidate under compressed-module policy.
LRIF1	aquatic_specific	False	True	0.0	0.00997541	0.00997541	aquatic fast direction positive	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	heterochromatin/chromatin regulation	high	True	True	False	False	heterochromatin/chromatin regulation. Chromatin-associated regulator.	UniProt; NCBI Gene; GO	Chromatin-associated regulator.		Explicit final decision: retain as a main Figure4C representative gene.
ASH2L	marine_specific	True	False	-0.00671137	0.0	0.00671137	marine slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	histone methyltransferase complex subunit	high	True	True	False	False	histone methyltransferase complex subunit. COMPASS/MLL histone methylation complex component.	UniProt; NCBI Gene; GO; Reactome	COMPASS/MLL histone methylation complex component.		Main Figure4C display candidate under compressed-module policy.
FANCM	marine_specific	True	False	-0.215465	0.0	0.215465	marine slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	Fanconi anemia DNA-repair helicase/translocase	high	True	True	False	False	Fanconi anemia DNA-repair helicase/translocase. Canonical Fanconi anemia DNA-repair factor.	UniProt; NCBI Gene; GO; OMIM	Canonical Fanconi anemia DNA-repair factor.		Main Figure4C display candidate under compressed-module policy.
POLG	marine_specific	True	False	-0.12494	0.0	0.12494	marine slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	mitochondrial DNA polymerase	high	True	True	False	False	mitochondrial DNA polymerase. Mitochondrial DNA replication/repair polymerase.	UniProt; NCBI Gene; GO; OMIM	Mitochondrial DNA replication/repair polymerase.		Main Figure4C display candidate under compressed-module policy.
TPX2	marine_specific	True	False	-0.547364	0.0	0.547364	marine slow direction negative	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	spindle assembly and mitotic cell-cycle regulation	high	True	True	False	False	spindle assembly and mitotic cell-cycle regulation. Mitotic spindle/cell-cycle factor.	UniProt; NCBI Gene; GO	Mitotic spindle/cell-cycle factor.		Main Figure4C display candidate under compressed-module policy.
TRIM66	marine_specific	True	False	0.0785377	0.0	0.0785377	marine fast direction positive	DNA repair / chromatin / cell-cycle	DNA repair / chromatin / cell-cycle	chromatin-associated TRIM family regulator	medium	True	True	False	False	chromatin-associated TRIM family regulator. TRIM family chromatin/transcription factor; medium confidence.	UniProt; NCBI Gene; GO	TRIM family chromatin/transcription factor; medium confidence.		Main Figure4C display candidate under compressed-module policy.
BAMBI	aquatic_specific	False	True	0.0	0.0120734	0.0120734	aquatic fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	TGF-beta/BMP pathway regulator	high	True	True	False	False	TGF-beta/BMP pathway regulator. BMP/TGF-beta signaling modulator.	UniProt; NCBI Gene; GO	BMP/TGF-beta signaling modulator.		Main Figure4C display candidate under compressed-module policy.
FAM13A	aquatic_specific	False	True	0.0	0.348974	0.348974	aquatic fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	RhoGAP-associated signaling / airway epithelial biology	medium	True	True	False	False	RhoGAP-associated signaling / airway epithelial biology. RhoGAP-associated signaling gene with airway epithelial disease associations; best placed as broad signaling regulator.	UniProt; NCBI Gene; PubMed; GWAS Catalog	RhoGAP-associated signaling gene with airway epithelial disease associations; best placed as broad signaling regulator.	Manual review: multifunctional; avoid overinterpreting as immune or epithelial adaptation.	Main Figure4C display candidate under compressed-module policy.
FAM20B	aquatic_specific	False	True	0.0	-0.149046	0.149046	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	glycosaminoglycan chain initiation / extracellular signaling matrix	medium	True	True	False	False	glycosaminoglycan chain initiation / extracellular signaling matrix. Kinase involved in glycosaminoglycan biosynthesis; placed in developmental/ECM signaling.	UniProt; NCBI Gene; GO	Kinase involved in glycosaminoglycan biosynthesis; placed in developmental/ECM signaling.	Manual review: could alternatively fit ECM/metabolism.	Main Figure4C display candidate under compressed-module policy.
FLYWCH1	aquatic_specific	False	True	0.0	-0.0104987	0.0104987	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	zinc-finger transcriptional regulator	medium	True	True	False	False	zinc-finger transcriptional regulator. Zinc-finger transcriptional regulator; medium confidence.	UniProt; NCBI Gene; GO	Zinc-finger transcriptional regulator; medium confidence.		Main Figure4C display candidate under compressed-module policy.
FZD5	aquatic_specific	False	True	0.0	0.130676	0.130676	aquatic fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	Wnt/frizzled receptor signaling	high	True	True	False	False	Wnt/frizzled receptor signaling. Frizzled receptor in Wnt signaling; priority rescue.	UniProt; NCBI Gene; GO; Reactome	Frizzled receptor in Wnt signaling; priority rescue.		Main Figure4C display candidate under compressed-module policy.
KEAP1	aquatic_specific	False	True	0.0	-0.198837	0.198837	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	NRF2 pathway regulator / stress-response signaling	high	True	True	False	False	NRF2 pathway regulator / stress-response signaling. KEAP1-NRF2 stress-response signaling regulator.	UniProt; NCBI Gene; Reactome; GO	KEAP1-NRF2 stress-response signaling regulator.		Main Figure4C display candidate under compressed-module policy.
NWD1	aquatic_specific	False	True	0.0	0.404559	0.404559	aquatic fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	NACHT/WD-repeat signaling scaffold	medium	True	True	False	False	NACHT/WD-repeat signaling scaffold. NACHT/WD-repeat protein; broad signaling/regulatory placement with medium confidence.	UniProt; NCBI Gene; GO	NACHT/WD-repeat protein; broad signaling/regulatory placement with medium confidence.		Main Figure4C display candidate under compressed-module policy.
PMIS2	aquatic_specific	False	True	0.0	-0.390725	0.390725	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	regulatory/noncanonical transcriptional association	low	False	False	True	False	regulatory/noncanonical transcriptional association. Poorly characterized; keep low confidence within broad regulatory bucket only if shown.	NCBI Gene; HGNC	Poorly characterized; keep low confidence within broad regulatory bucket only if shown.	Manual review: weak annotation; consider Table S5 only.	
RAC3	aquatic_specific	False	True	0.0	-0.081497	0.081497	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	Rho-family small GTPase signaling	high	True	True	False	False	Rho-family small GTPase signaling. Small GTPase signaling regulator.	UniProt; NCBI Gene; GO; Reactome	Small GTPase signaling regulator.		Main Figure4C display candidate under compressed-module policy.
TIGD7	aquatic_specific	False	True	0.0	-0.153351	0.153351	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	transposase-derived DNA-binding/regulatory protein	low	False	False	True	False	transposase-derived DNA-binding/regulatory protein. Transposase-derived gene; functional assignment weak.	NCBI Gene; HGNC	Transposase-derived gene; functional assignment weak.	Manual review: low confidence; candidate for Table S5 only.	
TTC28	aquatic_specific	False	True	0.0	-0.237915	0.237915	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	tetratricopeptide-repeat regulatory scaffold	low	False	False	True	False	tetratricopeptide-repeat regulatory scaffold. Large TPR-repeat protein with limited functional specificity; low confidence.	NCBI Gene; HGNC	Large TPR-repeat protein with limited functional specificity; low confidence.	Manual review: avoid mechanistic interpretation.	
URI1	aquatic_specific	False	True	0.0	-0.0784755	0.0784755	aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	prefoldin-like transcriptional/chaperone regulator	medium	True	True	False	False	prefoldin-like transcriptional/chaperone regulator. Prefoldin-like protein with transcriptional/regulatory functions.	UniProt; NCBI Gene; GO	Prefoldin-like protein with transcriptional/regulatory functions.		Main Figure4C display candidate under compressed-module policy.
ACVR1	marine_specific	True	False	-0.0383733	0.0	0.0383733	marine slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	BMP/activin receptor signaling	high	True	True	False	False	BMP/activin receptor signaling. BMP/activin receptor with developmental signaling roles.	UniProt; NCBI Gene; GO; OMIM	BMP/activin receptor with developmental signaling roles.		Main Figure4C display candidate under compressed-module policy.
HOXD10	marine_specific	True	False	0.280207	0.0	0.280207	marine fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	homeobox developmental transcription factor	high	True	True	False	False	homeobox developmental transcription factor. Homeobox developmental regulator.	UniProt; NCBI Gene; GO	Homeobox developmental regulator.		Main Figure4C display candidate under compressed-module policy.
NR2C2AP	marine_specific	True	False	0.0628653	0.0	0.0628653	marine fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	nuclear receptor coactivator / transcriptional regulation	medium	True	True	False	False	nuclear receptor coactivator / transcriptional regulation. Nuclear receptor coactivator-like gene; broad transcriptional regulatory assignment.	UniProt; NCBI Gene; GO	Nuclear receptor coactivator-like gene; broad transcriptional regulatory assignment.		Main Figure4C display candidate under compressed-module policy.
RNF224	marine_specific	True	False	0.0826572	0.0	0.0826572	marine fast direction positive	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	E3 ubiquitin ligase-like regulatory protein	low	False	False	True	False	E3 ubiquitin ligase-like regulatory protein. Poorly characterized RNF-family gene; low-confidence regulatory placement.	NCBI Gene; HGNC	Poorly characterized RNF-family gene; low-confidence regulatory placement.	Manual review: low evidence; consider unassigned if conservative.	
VEPH1	marine_specific	True	False	-0.163678	0.0	0.163678	marine slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	TGF-beta/BMP-associated developmental signaling	medium	True	True	False	False	TGF-beta/BMP-associated developmental signaling. VEPH1 associated with TGF-beta/BMP pathway regulation; medium confidence.	UniProt; NCBI Gene; PubMed	VEPH1 associated with TGF-beta/BMP pathway regulation; medium confidence.		Main Figure4C display candidate under compressed-module policy.
SOX7	shared	True	True	-0.0651623	-0.0288474	0.0651623	marine slow direction negative; aquatic slow direction negative	Developmental / transcriptional signaling regulators	Developmental / transcriptional signaling regulators	SOX-family transcription factor / vascular-development signaling	high	True	True	False	False	SOX-family transcription factor / vascular-development signaling. SOX transcription factor with developmental/vascular roles.	UniProt; NCBI Gene; GO	SOX transcription factor with developmental/vascular roles.		Main Figure4C display candidate under compressed-module policy.
CASTOR1	aquatic_specific	False	True	0.0	-0.0825057	0.0825057	aquatic slow direction negative	Endocrine / circadian / systemic metabolic regulation	Endocrine / circadian / systemic regulation	arginine sensor / mTORC1 nutrient signaling	high	True	True	False	False	arginine sensor / mTORC1 nutrient signaling. Nutrient-sensing regulator of mTORC1 signaling.	UniProt; NCBI Gene; Reactome; GO	Nutrient-sensing regulator of mTORC1 signaling.		Main Figure4C display candidate under compressed-module policy.
GCKR	aquatic_specific	False	True	0.0	0.176184	0.176184	aquatic fast direction positive	Endocrine / circadian / systemic metabolic regulation	Endocrine / circadian / systemic regulation	glucokinase regulatory protein / systemic glucose metabolism	high	True	True	False	False	glucokinase regulatory protein / systemic glucose metabolism. Regulator of glucokinase and systemic glucose/lipid metabolism.	UniProt; NCBI Gene; GO; OMIM	Regulator of glucokinase and systemic glucose/lipid metabolism.		Main Figure4C display candidate under compressed-module policy.
PER1	aquatic_specific	False	True	0.0	0.784004	0.784004	aquatic fast direction positive	Endocrine / circadian / systemic metabolic regulation	Endocrine / circadian / systemic regulation	core circadian clock gene	high	True	True	False	False	core circadian clock gene. Core circadian clock component; priority rescue.	UniProt; NCBI Gene; GO; Reactome	Core circadian clock component; priority rescue.		Main Figure4C display candidate under compressed-module policy.
CREB3L3	marine_specific	True	False	-0.150758	0.0	0.150758	marine slow direction negative	Endocrine / circadian / systemic metabolic regulation	Endocrine / circadian / systemic regulation	hepatic CREB-family metabolic transcription factor	high	True	True	False	False	hepatic CREB-family metabolic transcription factor. Transcription factor regulating systemic/hepatic metabolic programs.	UniProt; NCBI Gene; GO; PubMed	Transcription factor regulating systemic/hepatic metabolic programs.		Main Figure4C display candidate under compressed-module policy.
CYP21A2	marine_specific	True	False	-0.0450853	0.0	0.0450853	marine slow direction negative	Endocrine / circadian / systemic metabolic regulation	Endocrine / circadian / systemic regulation	steroid hormone biosynthesis enzyme	high	True	True	False	False	steroid hormone biosynthesis enzyme. Steroidogenic enzyme; endocrine hormone assignment.	UniProt; NCBI Gene; GO; OMIM	Steroidogenic enzyme; endocrine hormone assignment.		Main Figure4C display candidate under compressed-module policy.
SSTR4	marine_specific	True	False	0.13794	0.0	0.13794	marine fast direction positive	Endocrine / circadian / systemic metabolic regulation	Endocrine / circadian / systemic regulation	somatostatin receptor / neuroendocrine signaling	high	True	True	False	False	somatostatin receptor / neuroendocrine signaling. Somatostatin receptor; priority neuroendocrine rescue.	UniProt; NCBI Gene; GO	Somatostatin receptor; priority neuroendocrine rescue.		Main Figure4C display candidate under compressed-module policy.
ASMTL	shared	True	True	-0.225475	-0.00682425	0.225475	marine slow direction negative; aquatic slow direction negative	Unassigned / low-confidence	Endocrine / circadian / systemic regulation	ASMT/ASMTL-locus; melatonin-pathway-adjacent methyltransferase-like candidate	low	False	False	True	False	ASMTL is retained as an ASMT/ASMTL-locus and melatonin-pathway-adjacent context-only candidate. ASMTL ranks 262nd by marine t-test p-value, whereas ASMT ranks 3513th and is not significant in the current screen; therefore ASMTL should not be interpreted as direct evidence for altered melatonin secretion. Use only as cautious context in Supplementary Table S5 or Discussion.	NCBI Gene; HGNC; PMID:39859321; NCBI Gene; HGNC	ASMTL is retained as an ASMT/ASMTL-locus and melatonin-pathway-adjacent context-only candidate. ASMTL ranks 262nd by marine t-test p-value, whereas ASMT ranks 3513th and is not significant in the current screen; therefore ASMTL should not be interpreted as direct evidence for altered melatonin secretion. Use only as cautious context in Supplementary Table S5 or Discussion.	ASMTL is retained as an ASMT/ASMTL-locus and melatonin-pathway-adjacent context-only candidate. ASMTL ranks 262nd by marine t-test p-value, whereas ASMT ranks 3513th and is not significant in the current screen; therefore ASMTL should not be interpreted as direct evidence for altered melatonin secretion. Use only as cautious context in Supplementary Table S5 or Discussion.	Table S5-only ASMT/ASMTL-locus context; not displayed in main Figure4C and not evidence for direct altered melatonin secretion.
CDHR4	aquatic_specific	False	True	0.0	-0.0433598	0.0433598	aquatic slow direction negative	Epithelial / body-surface interface	Epithelial / body-surface interface	cadherin-related epithelial/retinal adhesion	medium	True	True	False	False	cadherin-related epithelial/retinal adhesion. Cadherin-related membrane adhesion gene; use medium confidence as epithelial/adhesion interface gene.	UniProt; NCBI Gene; GO	Cadherin-related membrane adhesion gene; use medium confidence as epithelial/adhesion interface gene.	Manual review: could alternatively be adhesion/cytoskeletal.	Main Figure4C display candidate under compressed-module policy.
PRSS53	aquatic_specific	False	True	0.0	0.194084	0.194084	aquatic fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	epithelial/skin serine protease-like factor	medium	True	True	False	False	epithelial/skin serine protease-like factor. Serine protease family gene associated with hair/skin epithelial traits; include as medium-confidence body-surface interface.	UniProt; NCBI Gene; GO; PubMed	Serine protease family gene associated with hair/skin epithelial traits; include as medium-confidence body-surface interface.		Main Figure4C display candidate under compressed-module policy.
